ApplicationID,CandidateID,DateID,TechnologyID,SeniorityID,CountryID,Code Challenge Score,Technical Interview Score,Hired
252,252,239,9,2,156,8,0,0
253,253,240,14,3,63,2,10,0
254,254,241,4,2,90,5,7,0
255,255,242,20,5,156,6,2,0
256,256,64,19,4,2,6,8,0
257,257,243,12,3,80,6,4,0
258,258,244,8,1,14,5,4,0
259,259,245,24,1,30,1,10,0
260,260,246,22,2,157,6,8,0
261,261,247,7,1,61,7,5,0
262,262,248,19,3,158,0,0,0
263,263,249,8,3,146,6,0,0
264,264,250,15,3,149,4,6,0
265,265,251,12,7,99,10,1,0
266,266,252,22,5,159,4,1,0
267,267,241,17,4,160,2,10,0
268,268,253,13,3,114,7,9,1
269,269,189,22,5,161,4,5,0
270,270,254,2,3,13,1,3,0
271,271,255,17,4,162,0,0,0
272,272,256,18,3,37,1,6,0
273,273,104,3,6,157,5,1,0
274,274,196,17,7,44,4,7,0
275,275,44,13,2,163,2,10,0
276,276,257,19,6,164,0,7,0
277,277,258,6,5,162,7,1,0
278,278,259,13,2,34,5,8,0
279,279,260,20,4,30,2,8,0
280,280,90,12,5,165,6,8,0
281,281,261,15,7,161,2,2,0
282,282,81,21,1,18,6,0,0
283,283,262,14,1,166,9,8,1
284,284,263,20,5,46,8,5,0
285,285,264,14,2,22,10,5,0
286,286,155,11,5,167,7,4,0
287,287,265,6,4,15,9,3,0
288,288,266,3,5,85,4,5,0
289,289,267,4,5,115,6,10,0
290,290,9,24,6,168,7,7,1
291,291,268,23,2,157,6,8,0
292,292,269,5,7,18,8,2,0
293,293,270,15,7,137,2,8,0
294,294,271,6,4,18,0,4,0
295,295,228,3,4,47,1,1,0
296,296,90,10,6,49,5,7,0
297,297,272,9,1,90,9,1,0
298,298,273,14,7,169,5,10,0
299,299,274,11,1,144,10,0,0
300,300,275,19,6,143,9,8,1
301,301,108,9,5,170,5,9,0
302,302,276,6,2,171,10,1,0
303,303,136,18,1,22,2,10,0
304,304,277,8,7,55,6,9,0
305,305,278,12,4,99,0,10,0
306,306,279,8,3,65,8,4,0
307,307,280,8,6,172,2,8,0
308,308,281,14,4,173,9,6,0
309,309,282,1,1,174,1,6,0
310,310,283,20,4,36,6,9,0
311,311,284,2,6,124,9,9,1
312,312,285,23,3,85,9,10,1
313,313,286,12,6,175,9,5,0
314,314,287,18,2,176,7,10,1
315,315,288,11,5,123,8,4,0
316,316,289,18,1,177,3,7,0
317,317,30,13,5,178,7,9,1
318,318,290,24,5,24,9,6,0
319,319,291,13,3,86,3,8,0
320,320,292,10,6,179,10,4,0
321,321,257,12,5,147,4,9,0
322,322,293,8,5,44,3,1,0
323,323,208,19,2,75,0,1,0
324,324,294,21,6,120,4,2,0
325,325,295,17,1,180,4,10,0
326,326,296,6,6,45,1,4,0
327,327,297,10,1,181,9,10,1
328,328,298,15,7,88,10,8,1
329,329,299,1,7,140,9,0,0
330,330,300,19,1,33,3,3,0
331,331,204,8,3,182,0,0,0
332,332,301,23,6,183,0,4,0
333,333,302,14,5,10,10,5,0
334,334,303,12,7,184,7,7,1
335,335,185,23,7,101,10,2,0
336,336,304,13,4,185,4,2,0
337,337,305,14,2,105,5,1,0
338,338,306,24,6,25,4,2,0
339,339,154,4,6,186,6,5,0
340,340,307,23,7,187,5,2,0
341,341,308,8,2,138,10,0,0
342,342,309,8,6,154,0,7,0
343,343,310,24,4,143,0,7,0
344,344,311,1,2,151,5,5,0
345,345,312,5,6,188,6,6,0
346,346,313,13,1,189,9,1,0
347,347,314,13,7,182,8,10,1
348,348,315,6,7,168,9,6,0
349,349,316,19,5,99,6,9,0
350,350,317,11,2,40,1,7,0
351,351,318,21,6,190,2,3,0
352,352,319,8,6,6,6,9,0
353,353,320,10,4,152,4,9,0
354,354,32,12,2,110,6,0,0
355,355,321,8,3,191,3,4,0
356,356,17,22,4,86,5,0,0
357,357,322,14,3,62,6,5,0
358,358,323,6,3,165,1,3,0
359,359,324,1,2,143,7,5,0
360,360,325,10,2,71,10,8,1
361,361,326,8,7,83,9,7,1
362,362,327,12,2,192,0,1,0
363,363,328,3,2,193,3,3,0
364,364,329,12,7,57,2,0,0
365,365,321,6,7,73,3,8,0
366,366,330,22,2,158,4,8,0
367,367,331,24,2,87,7,10,1
368,368,332,23,4,1,5,7,0
369,369,288,13,6,162,2,6,0
370,370,333,2,5,55,7,3,0
371,371,215,8,3,1,1,6,0
372,372,323,10,1,137,4,3,0
373,373,334,18,7,24,0,8,0
374,374,335,19,1,194,7,10,1
375,375,336,9,7,174,0,7,0
376,376,337,2,5,189,5,10,0
377,377,248,13,2,195,8,4,0
378,378,13,13,3,14,10,4,0
379,379,338,12,6,17,10,2,0
380,380,339,12,1,56,5,4,0
381,381,340,11,3,186,1,6,0
382,382,341,20,4,116,2,0,0
383,383,342,21,5,196,6,4,0
384,384,17,17,7,41,1,7,0
385,385,343,20,3,77,0,2,0
386,386,344,6,7,77,6,8,0
387,387,289,3,6,108,7,1,0
388,388,345,3,3,142,6,10,0
389,389,234,9,3,91,6,4,0
390,390,346,20,6,197,9,7,1
391,391,347,5,2,179,8,7,1
392,392,348,10,1,141,7,7,1
393,393,349,9,3,192,2,8,0
394,394,350,10,3,198,10,1,0
395,395,351,20,1,199,0,0,0
396,396,352,21,7,20,8,2,0
397,397,353,16,7,11,10,2,0
398,398,283,10,5,184,8,6,0
399,399,354,11,6,123,10,5,0
400,400,355,13,4,88,8,10,1
401,401,356,7,6,49,2,2,0
402,402,357,8,1,180,3,2,0
403,403,305,15,1,200,0,6,0
404,404,358,8,7,190,0,1,0
405,405,335,21,2,17,6,6,0
406,406,359,2,6,17,5,2,0
407,407,360,16,5,201,0,4,0
408,408,361,7,5,176,5,8,0
409,409,339,14,1,10,3,6,0
410,410,362,3,3,202,10,3,0
411,411,165,5,5,25,10,8,1
412,412,6,24,5,67,0,1,0
413,413,363,3,6,19,8,10,1
414,414,231,19,4,176,10,3,0
415,415,364,17,7,203,4,10,0
416,416,365,24,3,26,2,10,0
417,417,366,20,3,172,10,7,1
418,418,367,6,5,204,2,3,0
419,419,368,11,6,111,3,10,0
420,420,369,19,6,42,8,0,0
421,421,370,22,6,164,3,7,0
422,422,248,8,5,70,3,1,0
423,423,371,7,3,28,8,2,0
424,424,372,21,2,10,5,3,0
425,425,373,18,2,142,9,5,0
426,426,374,18,2,134,10,8,1
427,427,52,14,3,170,7,4,0
428,428,375,1,5,205,1,9,0
429,429,376,15,5,6,5,0,0
430,430,377,2,2,68,7,8,1
431,431,378,19,1,58,2,10,0
432,432,379,8,5,181,0,0,0
433,433,299,8,2,141,10,1,0
434,434,108,6,7,204,9,1,0
435,435,380,3,3,206,8,3,0
436,436,381,17,7,207,2,6,0
437,437,187,12,1,121,0,10,0
438,438,380,8,6,208,3,7,0
439,439,382,24,1,100,3,6,0
440,440,383,9,6,7,6,1,0
441,441,384,13,3,187,1,7,0
442,442,385,5,5,35,0,4,0
443,443,386,15,1,197,6,5,0
444,444,387,13,3,209,2,5,0
445,445,39,22,5,85,1,2,0
446,446,388,13,2,38,6,2,0
447,447,389,23,1,171,1,4,0
448,448,390,2,4,29,2,2,0
449,449,316,14,1,49,4,0,0
450,450,330,7,3,36,4,6,0
451,451,391,2,1,173,4,7,0
452,452,392,20,2,87,5,10,0
453,453,148,5,1,129,7,7,1
454,454,393,13,7,50,2,10,0
455,455,394,21,4,127,3,9,0
456,456,395,4,2,210,10,2,0
457,457,396,10,6,135,10,9,1
458,458,397,8,6,74,9,4,0
459,459,398,24,5,174,4,9,0
460,460,91,7,2,206,8,7,1
461,461,102,21,5,115,0,10,0
462,462,162,4,6,145,0,3,0
463,463,399,12,3,94,1,0,0
464,464,400,3,2,211,5,6,0
465,465,401,4,2,40,6,0,0
466,466,195,2,2,211,8,3,0
467,467,402,3,5,52,2,4,0
468,468,313,11,7,187,2,9,0
469,469,403,17,5,65,8,8,1
470,470,404,21,7,181,10,9,1
471,471,405,11,1,75,10,8,1
472,472,406,10,7,114,4,9,0
473,473,407,18,1,102,0,10,0
474,474,262,1,1,187,10,10,1
475,475,408,22,6,31,9,9,1
476,476,409,4,2,16,5,6,0
477,477,410,18,2,20,8,7,1
478,478,411,17,3,61,3,3,0
479,479,412,7,4,91,4,5,0
480,480,336,24,2,1,8,1,0
481,481,413,14,2,172,6,1,0
482,482,414,9,2,12,2,1,0
483,483,415,20,7,180,6,3,0
484,484,416,22,6,19,5,8,0
485,485,360,13,4,197,9,2,0
486,486,168,18,3,48,9,10,1
487,487,417,13,1,108,8,3,0
488,488,418,22,5,138,2,8,0
489,489,25,4,6,91,1,1,0
490,490,419,17,2,183,2,1,0
491,491,314,14,4,52,3,10,0
492,492,420,10,6,188,4,9,0
493,493,421,1,5,212,1,7,0
494,494,422,15,6,130,10,3,0
495,495,423,12,5,104,4,9,0
496,496,424,12,6,5,7,10,1
497,497,425,11,5,85,0,4,0
498,498,103,4,5,112,3,2,0
499,499,426,9,6,213,4,3,0
500,500,427,20,1,135,10,5,0
501,501,428,7,2,214,9,9,1
502,502,407,11,5,155,10,10,1
503,503,429,8,5,73,5,4,0
504,504,430,8,1,7,0,1,0
505,505,431,13,2,130,5,1,0
506,506,432,22,1,131,8,8,1
507,507,433,9,7,45,4,5,0
508,508,434,14,2,196,0,1,0
509,509,435,14,4,28,7,6,0
510,510,237,10,2,68,8,0,0
511,511,149,18,2,89,9,5,0
512,512,382,12,1,126,9,9,1
513,513,436,15,6,181,4,10,0
514,514,437,7,7,140,0,6,0
515,515,438,13,6,61,6,4,0
516,516,439,16,5,176,10,10,1
517,517,440,7,2,205,7,5,0
518,518,441,1,7,215,4,1,0
519,519,442,5,6,129,9,3,0
520,520,179,4,1,216,0,4,0
521,521,254,22,5,145,4,4,0
522,522,443,5,6,112,3,10,0
523,523,174,13,2,86,2,8,0
524,524,217,10,7,26,10,6,0
525,525,444,14,4,58,5,5,0
526,526,445,12,6,30,4,7,0
527,527,446,24,3,12,2,10,0
528,528,447,3,6,122,9,4,0
529,529,448,3,5,72,5,5,0
530,530,416,18,7,114,7,7,1
531,531,449,12,7,111,3,10,0
532,532,450,12,6,9,9,8,1
533,533,451,5,7,8,0,10,0
534,534,452,5,5,148,1,6,0
535,535,307,15,1,217,0,4,0
536,536,453,23,7,61,1,7,0
537,537,454,16,1,218,7,0,0
538,538,455,1,4,123,1,3,0
539,539,456,24,7,1,1,5,0
540,540,457,2,7,146,9,4,0
541,541,384,1,5,144,9,8,1
542,542,458,6,7,166,10,1,0
543,543,459,22,1,176,4,3,0
544,544,441,1,4,177,6,8,0
545,545,460,21,4,18,1,3,0
546,546,461,22,1,81,9,0,0
547,547,462,7,1,219,3,3,0
548,548,269,16,2,220,0,1,0
549,549,81,24,5,198,4,4,0
550,550,463,4,6,146,1,10,0
551,551,464,20,7,102,1,7,0
552,552,185,22,3,221,6,2,0
553,553,465,12,6,162,5,3,0
554,554,466,23,7,147,0,10,0
555,555,179,4,7,222,10,3,0
556,556,467,20,6,104,2,7,0
557,557,468,24,7,58,7,10,1
558,558,229,11,1,16,4,0,0
559,559,228,16,5,4,8,9,1
560,560,469,6,1,129,8,8,1
561,561,83,1,1,169,3,8,0
562,562,82,10,5,223,6,2,0
563,563,381,5,6,41,9,2,0
564,564,470,16,3,224,8,8,1
565,565,414,2,4,127,3,4,0
566,566,471,10,1,196,2,10,0
567,567,472,14,4,135,9,1,0
568,568,473,13,5,161,10,8,1
569,569,474,10,5,11,7,8,1
570,570,475,16,1,148,7,4,0
571,571,476,19,3,28,2,6,0
572,572,477,4,3,59,3,3,0
573,573,478,23,5,41,1,7,0
574,574,479,5,1,194,3,10,0
575,575,433,3,6,166,7,2,0
576,576,480,4,5,202,10,3,0
577,577,481,13,5,123,7,4,0
578,578,482,22,7,152,5,5,0
579,579,483,18,2,92,9,0,0
580,580,484,10,3,99,1,0,0
581,581,485,24,2,225,0,9,0
582,582,273,16,4,75,0,4,0
583,583,246,7,1,95,0,6,0
584,584,287,1,7,133,9,2,0
585,585,434,23,3,25,4,1,0
586,586,486,18,4,82,6,6,0
587,587,446,6,3,205,5,4,0
588,588,487,11,4,133,6,4,0
589,589,488,18,7,153,2,4,0
590,590,489,4,3,113,9,1,0
591,591,289,1,3,19,0,8,0
592,592,490,3,7,62,2,6,0
593,593,491,5,1,25,8,1,0
594,594,433,13,2,69,1,8,0
595,595,492,2,7,23,10,2,0
596,596,493,18,7,79,8,6,0
597,597,494,10,3,76,10,10,1
598,598,255,18,5,109,0,6,0
599,599,375,13,2,226,8,8,1
600,600,495,24,2,105,2,4,0
601,601,496,18,7,74,9,9,1
602,602,497,8,4,174,10,3,0
603,603,498,19,4,227,6,10,0
604,604,282,20,4,228,2,3,0
605,605,499,18,1,76,8,9,1
606,606,500,1,5,18,7,2,0
607,607,501,8,2,217,8,5,0
608,608,244,22,2,9,10,3,0
609,609,502,9,1,93,0,1,0
610,610,124,22,6,195,2,1,0
611,611,244,13,1,99,3,8,0
612,612,503,15,6,214,10,5,0
613,613,143,14,7,131,7,9,1
614,614,504,11,3,129,10,8,1
615,615,505,13,3,224,7,7,1
616,616,506,14,5,168,5,10,0
617,617,507,24,3,201,4,5,0
618,618,508,5,1,17,10,9,1
619,619,269,9,6,20,5,6,0
620,620,385,18,3,220,9,0,0
621,621,509,12,6,52,8,3,0
622,622,510,18,6,30,1,6,0
623,623,294,13,4,197,7,5,0
624,624,7,18,1,138,3,8,0
625,625,511,16,5,164,6,1,0
626,626,129,23,2,56,0,9,0
627,627,512,1,6,53,2,3,0
628,628,513,7,6,147,2,8,0
629,629,514,10,2,203,1,6,0
630,630,20,5,6,209,0,7,0
631,631,182,4,3,215,5,5,0
632,632,515,13,6,140,5,0,0
633,633,516,13,1,135,7,5,0
634,634,517,18,1,3,10,6,0
635,635,174,15,5,168,5,5,0
636,636,518,22,3,229,6,7,0
637,637,519,6,5,230,2,2,0
638,638,520,2,1,214,4,10,0
639,639,521,13,1,231,1,7,0
640,640,522,21,7,170,2,8,0
641,641,523,1,6,88,3,2,0
642,642,481,13,4,83,5,9,0
643,643,278,20,5,176,3,6,0
644,644,524,17,4,108,10,10,1
645,645,525,15,5,48,2,7,0
646,646,370,8,5,232,6,7,0
647,647,526,9,7,220,4,6,0
648,648,467,18,6,88,3,3,0
649,649,527,16,1,56,1,10,0
650,650,528,8,4,54,0,4,0
651,651,529,23,3,171,4,9,0
652,652,56,13,6,17,5,10,0
653,653,530,24,3,192,4,7,0
654,654,531,2,4,54,8,2,0
655,655,94,19,2,215,5,6,0
656,656,532,19,5,72,3,0,0
657,657,533,19,7,93,4,5,0
658,658,534,7,4,165,4,1,0
659,659,535,8,5,52,9,3,0
660,660,112,16,1,163,9,4,0
661,661,536,9,4,60,0,0,0
662,662,537,13,5,122,8,3,0
663,663,39,2,2,207,7,3,0
664,664,538,8,2,34,5,8,0
665,665,539,11,5,28,8,3,0
666,666,75,23,3,176,9,0,0
667,667,540,9,1,233,1,1,0
668,668,541,22,6,220,10,10,1
669,669,542,18,1,178,2,5,0
670,670,24,4,7,9,9,2,0
671,671,543,24,6,69,1,3,0
672,672,544,8,4,134,5,10,0
673,673,545,19,6,233,7,2,0
674,674,534,2,7,26,5,6,0
675,675,546,18,2,234,0,1,0
676,676,210,10,6,17,1,5,0
677,677,547,13,6,58,8,6,0
678,678,548,23,6,122,7,6,0
679,679,549,15,3,209,8,8,1
680,680,86,21,6,235,7,8,1
681,681,550,24,5,3,2,4,0
682,682,551,14,4,115,3,4,0
683,683,552,11,6,26,5,7,0
684,684,553,19,4,46,1,0,0
685,685,554,8,7,196,6,8,0
686,686,187,3,5,75,2,6,0
687,687,555,22,1,130,3,10,0
688,688,556,20,6,9,1,2,0
689,689,516,16,5,211,4,8,0
690,690,557,18,5,235,1,4,0
691,691,558,13,7,144,9,8,1
692,692,92,5,1,194,3,9,0
693,693,64,13,1,142,5,4,0
694,694,559,3,3,7,0,8,0
695,695,560,14,3,112,7,7,1
696,696,561,3,7,20,7,5,0
697,697,562,20,6,55,3,1,0
698,698,563,13,6,70,7,9,1
699,699,564,18,7,46,8,3,0
700,700,565,8,7,45,2,10,0
701,701,237,3,1,144,5,0,0
702,702,120,19,2,153,10,10,1
703,703,566,13,5,203,7,9,1
704,704,346,14,3,220,9,8,1
705,705,115,5,3,47,1,6,0
706,706,567,15,4,80,10,9,1
707,707,568,13,3,140,9,4,0
708,708,569,7,4,213,2,9,0
709,709,570,13,7,225,0,1,0
710,710,571,12,1,209,8,1,0
711,711,191,1,6,21,0,5,0
712,712,572,12,4,102,2,0,0
713,713,573,8,7,82,8,6,0
714,714,574,16,4,152,3,6,0
715,715,283,21,1,133,6,6,0
716,716,575,2,5,144,1,6,0
717,717,246,4,6,93,4,3,0
718,718,576,7,2,148,3,2,0
719,719,577,10,2,50,0,8,0
720,720,578,4,1,164,8,9,1
721,721,44,24,1,137,0,10,0
722,722,128,12,2,39,3,5,0
723,723,53,23,2,183,5,2,0
724,724,579,15,1,60,10,9,1
725,725,441,8,2,211,5,10,0
726,726,33,13,3,129,6,9,0
727,727,187,17,6,93,1,2,0
728,728,580,8,5,78,9,0,0
729,729,89,17,7,14,5,6,0
730,730,581,5,6,120,10,9,1
731,731,373,21,3,123,9,0,0
732,732,582,24,3,193,5,6,0
733,733,522,4,7,224,7,7,1
734,734,567,5,1,151,9,0,0
735,735,583,1,2,160,7,8,1
736,736,53,1,5,97,9,7,1
737,737,584,14,4,202,0,10,0
738,738,585,13,4,183,9,7,1
739,739,586,13,6,132,6,0,0
740,740,587,18,1,31,8,3,0
741,741,588,22,4,96,10,8,1
742,742,11,11,6,16,6,4,0
743,743,20,6,4,130,4,5,0
744,744,589,22,4,215,10,0,0
745,745,590,23,1,195,1,2,0
746,746,591,5,2,60,8,6,0
747,747,592,8,7,37,4,5,0
748,748,574,13,1,151,8,6,0
749,749,593,2,2,53,8,5,0
750,750,594,20,3,115,10,10,1
751,751,421,11,3,104,1,3,0
752,752,518,11,3,63,0,2,0
753,753,159,12,2,29,2,4,0
754,754,595,8,4,130,2,9,0
755,755,596,22,1,184,8,1,0
756,756,177,2,5,216,6,0,0
757,757,597,15,7,68,5,1,0
758,758,598,10,2,40,8,8,1
759,759,599,17,5,13,6,2,0
760,760,600,20,1,166,7,2,0
761,761,601,10,5,236,4,10,0
762,762,602,21,1,220,10,7,1
763,763,603,4,2,223,4,2,0
764,764,604,21,2,231,5,4,0
765,765,395,24,6,167,1,3,0
766,766,605,14,7,62,7,1,0
767,767,39,17,3,17,8,6,0
768,768,606,8,7,209,5,4,0
769,769,343,3,1,188,10,6,0
770,770,188,13,1,93,1,9,0
771,771,434,3,2,215,10,10,1
